0,0.0
1,5.0
2,5.0
3,5.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,5.0
12,5.0
13,5.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.6687725631768952
20,0.6687725631768952
21,4.331227436823105
22,4.331227436823105
23,4.331227436823105
24,0.6687725631768952
25,0.6687725631768952
26,0.6687725631768952
27,5.331227436823105
28,35.331227436823106
29,5.0
30,3.0
31,0.0
32,0.6687725631768953
33,0.6687725631768953
34,4.331227436823105
35,2.3375451263537905
36,2.3375451263537905
37,32.33754512635379
38,32.33754512635379
39,25.999999999999996
40,8.0
41,5.0
42,2.0063176895306865
43,2.0063176895306865
44,28.993682310469314
45,1.987364620938628
46,1.987364620938628
47,1.987364620938628
48,31.987364620938628
49,0.0
50,4.0
51,1.0
52,0.6498194945848381
53,30.350180505415157
54,30.350180505415157
55,30.700361010830324
56,0.700361010830324
57,0.700361010830324
58,30.700361010830324
59,1.9557761732851995
60,5.9557761732852
61,2.9557761732851997
62,1.0
63,0.0
64,29.999999999999996
65,1.955776173285199
66,1.955776173285199
67,31.955776173285198
68,31.955776173285198
69,28.82942238267148
70,5.170577617328519
71,6.170577617328519
72,4.432310469314079
73,0.5676895306859211
74,0.5676895306859211
75,32.30595667870036
76,2.305956678700361
77,2.305956678700361
78,32.30595667870036
79,3.7617328519855597
80,0.23826714801444004
81,1.23826714801444
82,1.23826714801444
83,3.7617328519855597
84,33.761732851985556
85,33.761732851985556
86,33.761732851985556
87,3.7617328519855597
88,3.7617328519855597
89,4.5
90,0.5
91,0.5
92,0.0
93,0.0
94,1.0
95,35.5
96,5.5
97,0.5
98,0.5
99,0.5
