-130,-60,-60.0
-130,-30,-57.5
-130,0,-55.0
-100,-20,-55.0
-110,30,-52.5
-70,-10,-52.5
-40,-10,-47.5
-110,-80,-45.0
-100,-50,-42.5
-80,20,-42.5
-50,20,-37.5
-80,-80,-35.0
-20,-30,-35.0
-110,0,-32.5
-80,-30,-30.0
-140,-30,-27.5
-90,50,-27.5
-50,-30,-25.0
-120,30,-22.5
-60,-60,-22.5
-120,-60,-20.0
-110,-30,-20.0
-80,0,-20.0
-30,0,-20.0
-70,30,-15.0
-90,-60,-12.5
-80,-100,-12.5
-130,0,-10.0
-10,-20,-7.5
-100,20,0.0
-70,-40,0.0
-40,-50,0.0
-130,-40,2.5
-100,-10,2.5
-100,50,2.5
-60,-10,2.5
-40,20,2.5
-60,-80,5.0
-70,50,7.5
-110,-70,10.0
-100,-40,10.0
-130,20,12.5
-70,20,15.0
-30,-20,15.0
-130,-10,20.0
-80,-60,22.5
-20,-50,22.5
-80,-20,25.0
-50,-60,27.5
-110,40,30.0
-100,10,30.0
-50,0,30.0
-120,-50,32.5
-80,60,35.0
-50,-30,37.5
-50,30,37.5
-20,0,37.5
-110,-20,42.5
-80,30,42.5
-100,-70,45.0
-20,-30,45.0
-80,-40,47.5
-70,-70,50.0
-30,-70,50.0
-120,10,52.5
-80,0,52.5
-100,50,57.5
-50,-10,60.0
-50,-50,62.5
-110,-40,65.0
-70,50,65.0
-60,20,65.0
-20,-10,67.5
-20,-50,72.5
-120,-10,75.0
-100,20,75.0
-80,-20,75.0
-90,-60,77.5
-60,-70,85.0
-50,-30,85.0
-60,0,87.5
-70,30,92.5
-110,-30,97.5
-100,0,97.5
-80,-40,100.0
-40,20,100.0
-50,-50,107.5
-40,-10,110.0
-70,-10,115.0
-70,-40,130.0
